,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
171,172,SANTOS,$13.2M,13169059.310793752,$1M,$1.1M,$-73.6K,1004009.6578739586,1077561.4825285352,-73551.82465457662
172,173,ZEC,$419.5M,419544268.707303800,$1.1M,$951.5K,$162.8K,1114268.479535653,951507.042279905,162761.43725574794
173,174,DUSK,$49.3M,49278494.384155580,$891.6K,$1.2M,$-276.8K,891581.3657359926,1168402.124028883,-276820.7582928905
174,175,MDT,$30.2M,30218957.281035736,$847.7K,$1.2M,$-351.6K,847728.999165634,1199298.249011521,-351569.249845887
175,176,NMR,$79.8M,79840103.503961950,$854.3K,$1.2M,$-330.8K,854346.1423411374,1185173.8718825122,-330827.72954137495
176,177,VIB,$8.9M,8882448.766562501,$1.1M,$924.8K,$171.5K,1096260.0426184915,924774.377491293,171485.66512719847
177,178,MINA,$365.7M,365693781.459583640,$995K,$1M,$-26.6K,994982.6479080026,1021568.835396764,-26586.187488761338
178,179,ZIL,$259.8M,259754118.772101820,$939K,$1.1M,$-131.2K,939003.9809518089,1070206.220028161,-131202.2390763521
179,180,XTZ,$635.7M,635740723.683538600,$937.8K,$1.1M,$-122.8K,937845.6858576743,1060647.4048667715,-122801.71900909717
180,181,PHB,$26M,25951302.578295473,$994.9K,$956.7K,$38.2K,994927.3979855446,956736.343231418,38191.054754126555
181,182,TOMO,$116M,115972829.429983870,$896.7K,$992.3K,$-95.5K,896739.4052480445,992287.7595136426,-95548.35426559803
182,183,ARPA,$54.7M,54695851.561214660,$883K,$1M,$-117K,883045.226189332,1000082.7439290027,-117037.51773967067
183,184,ROSE,$265.7M,265722351.926915700,$751.1K,$1.1M,$-374K,751094.7458042405,1125063.0250251258,-373968.2792208853
184,185,CRO,$1.3B,1281396532.336817500,$1.1M,$776.6K,$320.2K,1096816.5128400652,776629.2367174637,320187.2761226015
185,186,COTI,$51.2M,51182874.274796160,$907K,$956.5K,$-49.5K,907000.8784879997,956470.9961795548,-49470.11769155512
186,187,OUSD,$15.9M,15915709.026174728,$923.7K,$931.1K,$-7.4K,923700.7580645655,931131.1421434118,-7430.384078846371
187,188,GMX,$295.7M,295720373.778804960,$847.5K,$994.9K,$-147.4K,847496.4424223055,994890.8962272073,-147394.45380490186
188,189,BEL,$38.4M,38400070.859583330,$821.5K,$997.2K,$-175.7K,821544.9746752196,997195.349858881,-175650.37518366135
189,190,FTT,$342.8M,342772469.289518700,$932.3K,$874.8K,$57.4K,932276.2543078532,874843.439439048,57432.81486880522
190,191,REI,$25.9M,25919724.000000000,$922K,$865.3K,$56.7K,922039.6524934883,865290.2090848385,56749.443408649735
191,192,BNT,$60.8M,60826214.365339180,$784.2K,$996.2K,$-212K,784205.1138849724,996225.5681820124,-212020.45429703992
192,193,BLUR,$164.8M,164814681.121744630,$735.3K,$1M,$-276.2K,735308.5716026586,1011461.9718500329,-276153.4002473743
193,194,AMP,$72.1M,72092308.685598800,$763.3K,$962.1K,$-198.8K,763268.2362928606,962091.4195188717,-198823.18322601102
