,rank,name,mcap,mcap_raw,inflow,outflow,netflow,inflow_raw,outflow_raw,netflow_raw
334,335,CTXC,$26.2M,26222226.429747686,$204.9K,$243.8K,$-38.9K,204910.51292622395,243793.4775800272,-38882.96465380324
335,336,MXC,$26.1M,26101625.697060596,$177.9K,$269.4K,$-91.5K,177918.08088296023,269389.61724166636,-91471.53635870613
336,337,NEXO,$313M,313044735.069092900,$212.2K,$234.9K,$-22.7K,212153.21353869338,234897.1628081605,-22743.949269467106
337,338,FANC,$0,0.000000000,$188.6K,$256K,$-67.4K,188578.97521779654,255959.94361800747,-67380.96840021093
338,339,GHST,$41.1M,41072954.545354290,$283.5K,$147K,$136.5K,283488.86251363397,146976.920340519,136511.942173115
339,340,CVC,$72.2M,72193333.333333330,$210.8K,$219.3K,$-8.5K,210815.989088539,219341.620956105,-8525.631867565993
340,341,KMD,$29.8M,29805205.066234846,$187.8K,$239.6K,$-51.8K,187768.26365458817,239551.63571995622,-51783.37206536805
341,342,ACM,$11.4M,11420518.596689700,$197.7K,$227.3K,$-29.6K,197730.364219549,227339.480156117,-29609.115936568
342,343,NULS,$19.2M,19217232.396482352,$230.5K,$190.7K,$39.7K,230463.6721602525,190725.5690626975,39738.10309755499
343,344,XDB,$1.3M,1256546.826989207,$202.6K,$214.8K,$-12.3K,202573.934184749,214846.872011703,-12272.937826954003
344,345,SCRT,$54.1M,54078999.946177810,$208.7K,$206.8K,$1.9K,208723.82620937403,206845.8608741786,1877.9653351954294
345,346,VITE,$11.9M,11854867.207213892,$202.1K,$211.2K,$-9.1K,202074.627494192,211150.48891040302,-9075.861416211
346,347,PAXG,$474.2M,474249485.426685040,$158K,$254.7K,$-96.7K,158042.83397098776,254732.76296969206,-96689.9289987043
347,348,LHINU,$0,0.000000000,$209.9K,$202.4K,$7.5K,209910.341661831,202408.074192831,7502.267468999984
348,349,ETHW,$140.1M,140096772.795507580,$149.5K,$262.1K,$-112.6K,149459.55875438068,262102.26046956202,-112642.70171518135
349,350,BAT,$256.6M,256647817.017029670,$170.5K,$234.7K,$-64.2K,170519.29532016252,234675.59130623928,-64156.29598607676
350,351,BAL,$171.2M,171224537.324187700,$226.2K,$177.3K,$48.9K,226167.98974988345,177264.19663749443,48903.79311238901
351,352,FIRO,$19.3M,19261119.447925065,$192.1K,$210.2K,$-18.1K,192126.60078262902,210176.834462487,-18050.23367985799
352,353,RPL,$446.8M,446838410.123498500,$197.6K,$204.2K,$-6.6K,197647.8682626193,204204.4939149331,-6556.625652313778
353,354,ILV,$146.9M,146929116.371074500,$168.3K,$223.8K,$-55.5K,168320.8154468294,223790.5529440841,-55469.73749725471
354,355,XPR,$13.2M,13224242.871729998,$177.1K,$214K,$-36.9K,177098.20733700698,213971.7131917639,-36873.50585475694
355,356,TARA,$15.9M,15914597.488882745,$186.1K,$199.3K,$-13.2K,186127.13952438429,199322.40620328972,-13195.26667890544
356,357,PUNDIX,$86.9M,86866114.691141500,$178.4K,$205.5K,$-27K,178443.71971716275,205479.7734162591,-27036.053699096356
357,358,POWR,$71.3M,71347628.451435880,$180.3K,$190.9K,$-10.6K,180308.00147606508,190916.06913913882,-10608.067663073738
358,359,TENET,$0,0.000000000,$182K,$181.6K,$359,182004.640336103,181644.887643757,359.75269234599546
360,361,BIFI,$1.5M,1493437.624164000,$182.2K,$178.3K,$3.9K,182214.380549203,178335.589223063,3878.7913261399954
361,362,MBOX,$49.9M,49886198.087835126,$154.2K,$205.7K,$-51.5K,154242.97057719994,205693.02541229635,-51450.0548350964
362,363,DEGO,$19.1M,19111644.741854444,$169.7K,$185.7K,$-16K,169720.78680285666,185722.86766824892,-16002.08086539224
363,364,XYM,$137M,136991227.323702250,$152K,$202.4K,$-50.4K,151963.64963324726,202386.37490480064,-50422.72527155338
364,365,FLZ,$0,0.000000000,$208.1K,$144.2K,$63.9K,208072.52013034877,144213.5512836208,63858.96884672798
365,366,DEXE,$81.3M,81288604.288499390,$211.8K,$134.1K,$77.6K,211767.0600960895,134133.7206205918,77633.33947549769
366,367,CBETH,$0,0.000000000,$46.1K,$298.7K,$-252.6K,46116.73717732947,298744.4508557718,-252627.7136784423
367,368,ONG,$77.6M,77634998.630479430,$184.1K,$160.3K,$23.8K,184060.97547206984,160257.99120431184,23802.98426775799
368,369,TROY,$20.2M,20242875.000000000,$157.1K,$181.7K,$-24.7K,157082.791254,181745.766077,-24662.974822999997
369,370,UMEE,$0,0.000000000,$154K,$184.3K,$-30.3K,153969.807915298,184275.128097687,-30305.320182388998
370,371,MBL,$44.1M,44076483.322604160,$133.1K,$196.4K,$-63.4K,133069.5368694282,196435.1447860185,-63365.60791659031
371,372,LADYS,$26.4M,26437176.836354986,$151.5K,$176.4K,$-25K,151492.366950004,176449.985839264,-24957.61888925999
372,373,QKC,$47.1M,47139344.411481746,$182.3K,$145.3K,$37K,182347.64357024367,145336.30185795313,37011.34171229054
373,374,CKB,$115.5M,115529555.425747200,$161.8K,$165K,$-3.2K,161750.14778638454,164985.14237653452,-3234.9945901499786
374,375,LOOKS,$51.6M,51638344.007359720,$159.6K,$163.5K,$-3.9K,159646.06697265786,163525.07082493836,-3879.0038522804816
375,376,AMO,$7.5M,7487536.159999999,$148.6K,$173K,$-24.4K,148625.4627953914,173038.76247338846,-24413.29967799707
376,377,FB,$2.2M,2208776.000000000,$159.8K,$157.1K,$2.7K,159792.369465793,157125.159725292,2667.2097405009845
377,378,PLA,$82.9M,82855448.181911720,$158.3K,$156.2K,$2.2K,158349.03789383903,156158.05063005106,2190.9872637879926
378,379,GNS,$95.2M,95228466.612999990,$159.9K,$153.8K,$6K,159861.6204971786,153822.42228463272,6039.19821254589
379,380,BICO,$134.8M,134752795.937612000,$174.6K,$136.7K,$37.9K,174604.55514784448,136744.4566093049,37860.09853853959
380,381,HIVE,$145.8M,145784511.503318160,$145.8K,$162K,$-16.1K,145831.40118124455,161964.61977323462,-16133.218591990066
381,382,QI,$21M,21046040.047716050,$143.7K,$160.7K,$-17K,143744.439178264,160726.9843800635,-16982.545201799516
382,383,XCH,$230.8M,230807583.701235650,$132.2K,$169.5K,$-37.3K,132193.53052010774,169493.132394316,-37299.60187420825
383,384,DFI,$249.5M,249540592.877075880,$129.8K,$169.2K,$-39.4K,129750.24035466963,169198.61937945988,-39448.379024790236
384,385,SHA,$1.2M,1202342.158400000,$145.2K,$149.5K,$-4.2K,145240.449170715,149459.167965163,-4218.71879444801
385,386,FORT,$43.4M,43431696.317879190,$114K,$180.6K,$-66.6K,114039.727687,180647.815274,-66608.08758699997
386,387,ARX,$0,0.000000000,$26.8K,$266.6K,$-239.8K,26838.69702132,266608.199801421,-239769.50278010103
387,388,BTCDOWN,$0,0.000000000,$141.4K,$149.9K,$-8.5K,141408.76932989,149905.72577035,-8496.956440459995
388,389,SWFTC,$4.3M,4343305.653040529,$158K,$132.2K,$25.9K,158034.06229661615,132182.37597593124,25851.686320684923
389,390,TKO,$34.9M,34942841.323765434,$110.3K,$178.2K,$-67.9K,110294.5736191522,178202.23420566294,-67907.66058651076
390,391,BTT,$380.1M,380140545.942971200,$130.5K,$156.9K,$-26.4K,130473.69159822474,156912.67035755608,-26438.978759331345
391,392,ACS,$54.1M,54107423.549937190,$128.6K,$151.4K,$-22.9K,128567.90284311946,151434.9964605119,-22867.09361739245
392,393,SIX,$0,0.000000000,$225.4K,$53.7K,$171.7K,225417.9731241944,53728.1472030777,171689.8259211167
393,394,WAN,$36.6M,36644149.763603660,$131K,$146.6K,$-15.6K,131011.38610695917,146647.03485600027,-15635.64874904111
394,395,INT,$0,0.000000000,$274.8K,$2.5K,$272.3K,274799.2513608427,2467.0639126693,272332.18744817347
395,396,AI,$0,0.000000000,$151.3K,$124.5K,$26.8K,151277.26933894,124515.598824387,26761.670514553014
396,397,REQ,$63.9M,63934924.700433490,$145.2K,$130.6K,$14.7K,145208.45634894408,130552.06434968038,14656.39199926371
397,398,MM,$0,0.000000000,$137.6K,$136.6K,$971,137580.029161332,136608.697454589,971.3317067429889
398,399,EGG,$8.7M,8705623.516499838,$108.7K,$164.7K,$-56K,108746.9717760348,164704.4882029522,-55957.5164269174
399,400,ETHDOWN,$0,0.000000000,$141.8K,$131.4K,$10.5K,141824.827919,131355.028955,10469.798964000016
400,401,MOVEZ,$387.8K,387788.651507880,$130.2K,$135.5K,$-5.4K,130162.17167316,135543.45932148,-5381.287648320009
401,402,DOCK,$12.6M,12570167.896651017,$148.3K,$114.6K,$33.7K,148301.9185537665,114593.0844411935,33708.83411257299
402,403,GLM,$175.4M,175405164.428571430,$140.3K,$122.1K,$18.2K,140343.01593471196,122140.4349771407,18202.580957571263
403,404,AERGO,$43M,43002384.984438606,$142.2K,$117.7K,$24.5K,142172.38971427947,117695.41682693256,24476.9728873469
404,405,XDC,$732.4M,732371368.878339000,$120.4K,$135.1K,$-14.7K,120403.43936067839,135118.409366215,-14714.970005536617
405,406,ETHUP,$0,0.000000000,$125.4K,$119.7K,$5.7K,125387.14271,119662.03902,5725.103690000004
406,407,DCR,$208.5M,208499076.694455680,$111.7K,$132.1K,$-20.3K,111722.518561332,132051.9038179026,-20329.385256570597
407,408,CRPT,$6.6M,6613893.915843021,$108.2K,$134.1K,$-25.9K,108168.250802548,134080.716799023,-25912.465996475003
408,409,METIS,$46.4M,46420811.898305000,$95.5K,$135K,$-39.4K,95515.99574491,134964.12005203,-39448.12430712
409,410,ARKER,$0,0.000000000,$107K,$120.8K,$-13.8K,106953.86741709,120785.439312478,-13831.571895387999
410,411,UTK,$27.5M,27475364.416666664,$106.5K,$118.4K,$-11.9K,106524.569335256,118418.233320158,-11893.663984901996
411,412,HYDRA,$2.7M,2728343.554000000,$28.9K,$193.3K,$-164.4K,28865.9876635,193279.84075,-164413.8530865
412,413,ZCX,$0,0.000000000,$105.6K,$114.5K,$-8.9K,105592.461588054,114466.639503892,-8874.177915838009
413,414,PRIME,$93.8M,93847983.021860700,$116.9K,$102.9K,$14K,116854.76037,102884.47659,13970.283779999998
414,415,AKT,$193.1M,193114122.230476200,$107.7K,$110.4K,$-2.6K,107740.89303607,110356.84251555,-2615.9494794799975
415,416,XEM,$229.7M,229716377.524476000,$98.4K,$119.3K,$-20.9K,98383.52756368152,119275.37621128408,-20891.848647602565
416,417,TORN,$11.5M,11517917.143755120,$102.2K,$115.4K,$-13.1K,102246.86813458,115352.20645325,-13105.338318669994
417,418,SLIM,$3M,3000000.000000000,$124.7K,$90.9K,$33.9K,124737.013637748,90850.467473334,33886.54616441399
418,419,1EARTH,$110.6K,110643.342143640,$155.3K,$59.4K,$95.9K,155270.5599287,59400.63995248,95869.91997622
419,420,MMM,$0,0.000000000,$175.3K,$34.7K,$140.6K,175318.260508016,34717.948298136,140600.31220988
420,421,BETA,$51.8M,51801067.447220080,$103.7K,$105.7K,$-2.1K,103665.10899079464,105742.2131630303,-2077.104172235665
421,422,TRIAS,$33.4M,33366062.169909050,$97.8K,$104.4K,$-6.6K,97756.018220613,104361.63443927,-6605.616218657
422,423,RIO,$1.3M,1269037.113319504,$118K,$83.8K,$34.2K,117950.491415488,83769.090395948,34181.40101953999
423,424,OKT,$0,0.000000000,$63.1K,$137.8K,$-74.7K,63129.704634465474,137784.64941986866,-74654.94478540318
424,425,TAKI,$0,0.000000000,$101.5K,$98.2K,$3.3K,101502.878971344,98157.843693999,3345.0352773449995
425,426,UPO,$0,0.000000000,$116.5K,$82.7K,$33.9K,116532.650211081,82668.66035905,33863.989852030994
426,427,WOOP,$1.1M,1053773.885770000,$101.5K,$97.3K,$4.1K,101459.67090841,97318.013451965,4141.657456444998
427,428,LAT,$29.5M,29463139.991543304,$79.8K,$118.1K,$-38.3K,79789.079647913,118094.60356381,-38305.52391589701
428,429,ARDR,$63.6M,63579308.709793165,$94.9K,$102.7K,$-7.8K,94935.41196350765,102739.1285196066,-7803.716556098956
429,430,ASM,$14.3M,14250592.385320198,$156.8K,$40.9K,$115.9K,156755.5406689424,40887.74302216541,115867.79764677702
430,431,STEEM,$72.2M,72180026.431109530,$90K,$104.5K,$-14.5K,89991.97130873604,104481.07926614792,-14489.107957411888
431,432,MOB,$105.8M,105827812.619295600,$87.6K,$106.7K,$-19.1K,87559.55924676925,106652.93238721939,-19093.373140450145
432,433,LOCUS,$40.2M,40164511.795806750,$6.5K,$187.7K,$-181.1K,6527.484619362,187667.828514967,-181140.343895605
433,434,NGL,$0,0.000000000,$174.7K,$17.9K,$156.8K,174736.074571764,17922.83806497,156813.236506794
434,435,CGPT,$4.6M,4617274.619374767,$139.7K,$52.4K,$87.3K,139660.659120033,52375.479820928,87285.179299105
435,436,RIF,$68.3M,68320236.792048320,$79.5K,$108.9K,$-29.3K,79542.1531162455,108862.435543261,-29320.282427015503
436,437,SC,$156.3M,156313671.594736000,$78.3K,$106.7K,$-28.4K,78340.04936833224,106722.80008419945,-28382.75071586721
437,438,KLV,$25.5M,25496720.547505930,$67.9K,$116K,$-48.1K,67940.246363279,116011.451769392,-48071.205406113004
438,439,SUN,$51.4M,51383328.059561400,$85K,$98.3K,$-13.3K,84990.97557037807,98336.48038925709,-13345.504818879035
439,440,XCAD,$39.4M,39431282.549057930,$84.3K,$98.9K,$-14.6K,84300.46803733,98860.199308499,-14559.731271168988
440,441,H2O,$23.9M,23924120.045100000,$91.2K,$89.9K,$1.3K,91228.45174292,89921.95633156,1306.4954113600106
441,442,FIO,$12.6M,12638008.460314283,$76.2K,$98K,$-21.9K,76153.720715823,98038.109245072,-21884.388529248998
442,443,IQ,$70.2M,70176529.257959950,$115.3K,$57.5K,$57.8K,115281.03484127001,57518.299079916,57762.735761354
443,444,MELOS,$0,0.000000000,$108.4K,$63.2K,$45.2K,108408.284012216,63226.466399075,45181.817613141
445,446,MCO2,$0,0.000000000,$62.6K,$106.4K,$-43.8K,62649.7163,106407.4768,-43757.760500000004
446,447,BOBA,$19.6M,19586100.588326924,$154.1K,$14.4K,$139.7K,154121.78027331436,14392.3516924364,139729.42858087795
447,448,SYS,$64.3M,64329425.526161300,$70.8K,$96.3K,$-25.6K,70758.20818660551,96349.23007990824,-25591.021893302743
448,449,NCT,$13.5M,13495498.361234017,$103K,$62.9K,$40.1K,103013.14038681617,62863.79625564719,40149.34413116898
449,450,FT,$0,0.000000000,$164.5K,$1.2K,$163.3K,164542.79835526,1206.36685334,163336.43150192
450,451,NFT,$372.3M,372279736.817618100,$78.7K,$84.7K,$-6K,78687.34633157136,84653.21673685474,-5965.870405283384
451,452,YFII,$16.5M,16471127.838480001,$69.6K,$93.6K,$-24.1K,69583.3319420574,93642.19115802125,-24058.859215963847
452,453,BTG,$227.2M,227190616.796508000,$61.9K,$99K,$-37.1K,61901.64670893869,98992.28076646398,-37090.63405752529
453,454,ROOBEE,$2.2M,2177945.620266253,$96.1K,$63.8K,$32.3K,96069.94201852466,63765.6956395914,32304.246378933254
454,455,BDOT,$0,0.000000000,$145.6K,$12.4K,$133.2K,145582.390674604,12420.859499926,133161.53117467798
455,456,GODS,$40.3M,40254730.109731900,$66.1K,$90.7K,$-24.6K,66070.401350218,90686.52123266499,-24616.119882446998
456,457,DIMO,$13.1M,13067899.634186717,$77.8K,$78.4K,$-595,77784.823975,78379.879074,-595.0550989999902
457,458,AZERO,$203M,202992103.891990000,$54.8K,$99.9K,$-45.1K,54826.41583941,99888.86047281,-45062.4446334
458,459,EVER,$96.1M,96149221.642926410,$39.1K,$114.4K,$-75.3K,39118.22094408005,114407.05436941364,-75288.83342533358
459,460,LSK,$92.9M,92912400.504920800,$39K,$114.5K,$-75.4K,39034.1128784916,114482.61636705954,-75448.50348856795
460,461,VR,$9.1M,9120037.000397814,$79.1K,$74K,$5.1K,79123.389928165,74030.577756331,5092.812171833997
461,462,CHMB,$0,0.000000000,$78.2K,$73.7K,$4.6K,78247.669180522,73660.765844757,4586.903335765004
462,463,STRK,$38.3M,38348143.135363710,$147K,$1.2K,$145.7K,146958.4780129827,1222.4740129475501,145736.00400003514
463,464,INFRA,$0,0.000000000,$75.8K,$72.4K,$3.4K,75781.67928114,72356.86031288,3424.8189682599914
464,465,BONE,$184.8M,184766404.560546370,$77.3K,$70.3K,$7K,77257.27660115,70282.14751131,6975.129089840004
465,466,ELON,$74.2M,74203123.971543300,$74.4K,$73.1K,$1.2K,74355.842686658,73109.334838642,1246.507848016001
466,467,AIPAD,$222.4K,222414.000000000,$72.6K,$73.7K,$-1.1K,72614.436739853,73712.96063841,-1098.5238985570031
467,468,XRD,$565.4M,565437192.672130700,$53.6K,$92.3K,$-38.7K,53643.2167699904,92302.45384659866,-38659.23707660825
468,469,MLK,$79.3M,79349577.574669210,$97.6K,$48.1K,$49.6K,97628.40387380976,48078.38487382203,49550.018999987726
469,470,POLX,$1.1M,1110987.389677720,$66.9K,$78K,$-11.1K,66912.83927715,78015.654018863,-11102.81474171301
470,471,AGI,$14.8M,14776063.772626020,$63.2K,$80.2K,$-17K,63186.682029107586,80222.26326178228,-17035.581232674696
472,473,KCS,$415M,414984511.766900800,$64.2K,$79.1K,$-15K,64161.5596429,79145.8135018,-14984.253858900003
473,474,ERTHA,$404.2K,404172.492375000,$72.5K,$70.8K,$1.8K,72522.059062773,70760.609699207,1761.4493635660037
474,475,SOUL,$9.1M,9143208.337069614,$71.9K,$66.3K,$5.7K,71921.32126342,66270.11404929,5651.207214130001
475,476,CIRUS,$2.1M,2078620.840890000,$107.6K,$28.4K,$79.2K,107612.588856558,28420.676814836,79191.912041722
477,478,RARE,$29M,28964847.636962250,$59.9K,$74K,$-14.1K,59903.8157496347,74003.952163289,-14100.136413654298
478,479,EM,$1M,1044476.521130390,$53.6K,$78.8K,$-25.2K,53645.106443967,78820.352219387,-25175.24577542
480,481,XNO,$81.3M,81321755.464202140,$66.4K,$64K,$2.3K,66352.8165159679,64036.6156006468,2316.2009153211
481,482,WRX,$35.7M,35679169.177722506,$60.7K,$68.8K,$-8.2K,60688.595452071,68839.831450535,-8151.235998464005
482,483,PRE,$9.5M,9536918.204880000,$103.1K,$26.2K,$76.8K,103055.570642283,26237.227209472,76818.343432811
483,484,ZEE,$738.9K,738949.038300000,$66.1K,$61.4K,$4.7K,66127.134920686,61407.686905015,4719.448015671005
484,485,DOME,$12.1M,12058564.425224900,$64K,$63.5K,$480,63972.839799505,63491.874978463,480.9648210420055
485,486,stETH,$14B,14007914068.510030000,$26.5K,$100.8K,$-74.3K,26462.11087804,100796.39533332,-74334.28445528001
486,487,DNT,$23.6M,23600000.000000000,$56.4K,$70.8K,$-14.4K,56370.212053729454,70791.81967,-14421.607616270545
487,488,UNIC,$0,0.000000000,$65.2K,$61.8K,$3.5K,65237.1333007,61753.6709797,3483.462320999999
488,489,DAO,$108M,107971292.173056000,$59.9K,$66.8K,$-6.9K,59894.84614170244,66792.61400255124,-6897.767860848806
489,490,SYLO,$3M,2966573.340240000,$29.5K,$97K,$-67.5K,29502.71251198,97014.120212899,-67511.40770091901
490,491,CHE,$0,0.000000000,$46.3K,$79.6K,$-33.4K,46256.498508529,79609.332713773,-33352.83420524399
491,492,LSETH,$0,0.000000000,$76.5K,$48.7K,$27.8K,76484.219774063,48681.942288357706,27802.2774857053
492,493,DOSE,$1.6M,1618882.816150014,$63.2K,$61.8K,$1.4K,63151.848722450806,61786.9060875389,1364.9426349119076
493,494,SOLVE,$17.1M,17063375.470000003,$73.3K,$51.7K,$21.6K,73271.77093811365,51664.09417627954,21607.6767618341
494,495,DERC,$16.7M,16692060.000000000,$59.2K,$64.8K,$-5.6K,59172.16325973,64810.34666827,-5638.183408540004
495,496,SWEAT,$48.3M,48259454.844356310,$56.4K,$66.7K,$-10.3K,56368.612102324,66692.4081158,-10323.796013476007
496,497,ORAI,$22M,21994224.480000000,$62.7K,$58.4K,$4.3K,62667.6094171,58382.155684,4285.453733100003
497,498,SNT,$84.8M,84799792.618667870,$62K,$58.9K,$3.1K,61950.13895579474,58874.382033238595,3075.7569225561456
498,499,HEART,$0,0.000000000,$63.2K,$55.9K,$7.3K,63187.635560642,55862.434324598,7325.2012360439985
499,500,SHILL,$3.1M,3056552.957815200,$58K,$61K,$-3K,57981.309651291,60986.700675545,-3005.3910242540005
