ticker,source,exchange,symbol,segment,item,alert,o,h,l,c,v,ltp,bid,ask,bidVol,askVol,delta,spread,date,change,pctChange,percentChange,sourceType,direction,sortIndex
BINANCE:SPOT:UNIUSDT,blr1,BINANCE,UNIUSDT,SPOT,[object Object],,6,6.2,5.984,6.06,1214680.77,6.06,6.06,6.06,0,0,0,0,12/7/2023,0.06,1,1,TICK,0,0
BINANCE:SPOT:BNBUSDT,blr1,BINANCE,BNBUSDT,SPOT,[object Object],,229.5,234.8,228.3,230,372709.543,230,230,230,0,0,0,0,12/7/2023,0.6,0.26,0.26,TICK,0,1
BINANCE:SPOT:STORJUSDT,blr1,BINANCE,STORJUSDT,SPOT,[object Object],,0.725,0.735,0.6877,0.7016,11479445,0.7016,0.7016,0.7016,0,0,0,0,12/7/2023,-0.0233,-3.21,-3.21,TICK,-1,2
BINANCE:SPOT:FLUXUSDT,blr1,BINANCE,FLUXUSDT,SPOT,[object Object],,0.5936,0.6067,0.5574,0.5697,2630463.13,0.5697,0.5697,0.5697,0,0,0,0,12/7/2023,-0.0238,-4.01,-4.01,TICK,0,3
BINANCE:SPOT:MANAUSDT,blr1,BINANCE,MANAUSDT,SPOT,[object Object],,0.4733,0.4928,0.462,0.4725,22133430,0.4725,0.4725,0.4725,0,0,0,0,12/7/2023,-0.0006,-0.13,-0.13,TICK,1,4
BINANCE:SPOT:TRUUSDT,blr1,BINANCE,TRUUSDT,SPOT,[object Object],,0.0556,0.05721,0.05453,0.05555,16812620,0.05555,0.05555,0.05555,0,0,0,0,12/7/2023,0,-0.05,-0.05,TICK,0,5
